name,City,Telephone,Address
Kuldeep Food Corner,Delhi NCR,+91 8586863141,"Shop 1, Nimri Colony, Ashok Vihar Phase 3, New Delhi"
Samla Food,Delhi NCR,+91 9213506484 +91 9599329628,"Shop S18D, Shakarpur School Block, Laxmi Nagar, New Delhi"
FCF Chaap & Kabab's,Delhi NCR,+91 9999534072 +91 9999534073,"11/92, Near Surya Continental Hotel, Subhash Nagar, New Delhi"
Plum By Bent Chair,Delhi NCR,011 61495178,"The Walk, Worldmark 2, Aerocity, New Delhi"
Kittoo's,Delhi NCR,+91 8586888318,"Bani Square Mall, S 33, Sector 50, Gurgaon"
Raj Bakers And Confectioners,Delhi NCR,+91 8860224615 +91 8448021133,"D 85, Shop 4, Mini Market, Near Holy Child School, Devki Nandan Marg, Tagore Garden Extension, Tagore Garden, New Delhi"
Choutala Food Junction,Delhi NCR,+91 8285398859,"4/126, Lal Bahadur Mini DDA Market, Trilokpuri, New Delhi"
Vimal Sweets,Delhi NCR,+91 9999555092,"Y-838, Phase 1, Opposite Government School, Nangloi, New Delhi"
The Royal Food Junction,Delhi NCR,+91 9319505307,"17, Central Market, Near Old Bus Stand, Ambedkar Road, Ghaziabad"
Mojo's Food,Delhi NCR,+91 8800583963,"22/84, West Patel Nagar, New Delhi."
Tohfay Walla,Delhi NCR,+91 9873412259,"Shop 23, Ground Floor, Amrapali Crystal Homes, Shopping Arcade, Amrapali Silicon City, Sector 76, Near Sector 72, Noida"
Wat the Waffle,Delhi NCR,+91 8285572423 +91 8750097749,"D-1, Fateh Nagar, Jail Road, New Delhi"
Pirates of Punjab,Delhi NCR,011 61495026,"60/14, Ashok Nagar, Near Tilak Nagar Metro Station, Gate 3, Tilak Nagar, New Delhi"
Back To Pavilion Cafe,Delhi NCR,+91 7678113529,"C-10, Guru Ram Das Nagar, Near Balaji Rasoi, Preet Vihar, New Delhi"
Cherry Berry,Delhi NCR,+91 9015813860,"House 162, State Bank Colony, Near Nanak Piau Gurudwara, GTK Road, Gujranwala Town, New Delhi"
Diggin,Delhi NCR,011 26110787 011 26110788,"10, Santushti Shopping Complex, Race Course Road, Chanakyapuri, New Delhi"
The Crossings Restaurant,Delhi NCR,+91 9910024162 +91 9910024172,"Golf Course, Opposite SBI Bank, Crossing Republik, Ghaziabad"
Eggers Madhouse,Delhi NCR,+91 9899814755,"11, Metropark Food Court, HUDA City Centre Metro Station, Sector 29, Gurgaon"
Dogs & Wiches,Delhi NCR,+91 9811148105,"Shop 105, 1st Floor,  Market 2, Chittaranjan Park, New Delhi"
Chicken App,Delhi NCR,+91 8750270003,"Shop 16, DDA Shopping Complex, Gulabi Bagh, Near Shastri Nagar Metro Station, Inderlok, New Delhi"
Kebabs & Curries,Delhi NCR,+91 9899589729,"H160, Begumpur, Malviya Nagar, New Delhi"
Rasoi,Delhi NCR,+91 7303826251,"682, Street 10, Block A, Mahipalpur, New Delhi"
Mr. King,Delhi NCR,+91 9999030405,"518A, H Block, Govind Puram, Ghaziabad"
Online Cake Palace,Delhi NCR,+91 8010863903,
Thali King- Make My Thali,Delhi NCR,011 66992332,"Shop 2, Good Luck Plaza, Sector 20, Dwarka, New Delhi"
Indian Halal Meat Shop,Delhi NCR,Not Available,"Shop 10098, Pul bangash Near Azad
 Market Chowk, New Delhi"
New Madras Cafe,Delhi NCR,+91 9999344930,"C-1/177, Yamuna Vihar, Shahdara, New Delhi"
Baleshwar Rasoi,Delhi NCR,+91 8447550669 +91 9650232764,"Ashok Vihar Phase 1, New Delhi"
Wafflista Cafe,Delhi NCR,+91 9654709025,"104, J & K Block, Laxmi Nagar, New Delhi"
New Sethi's Restaurant,Delhi NCR,0120 2754011 0120 2862011,"1, Model Town East, Near Opulent Mall, Nehru Nagar, Ghaziabad"
Diet Brite,Delhi NCR,+91 9958160960,"Y-18, Naveen, Shahdara, New Delhi"
Cafe Meals,Delhi NCR,+91 8860988858 +91 9990216663,"CB-162, Ring Road, Naraina. Flyover, Naraina, New Delhi"
Wrap & Roll,Delhi NCR,+91 9650959897,"Shop 7, Ground Floor, B-1/8, Apsara Arcade, Karol Bagh, New Delhi"
Om Sweets & Snacks,Delhi NCR,0124 4271101 0124 4271102,"SCO 17, Main Market, Sector 31, Gurgaon"
Hakka Treat,Delhi NCR,+91 7827382981,"5/195, Lalita Park, Laxmi Nagar, New Delhi"
Desi Chulha,Delhi NCR,+91 9811118815,"A- 151, Jaitpur Extension Part 1, Badarpur Border, Faridabad"
Cheers Resto Bar,Delhi NCR,+91 9718999702 00 97189999703,"G-16-21 RG-1 Complex, Prashant Vihar, Ssector 14, Prashant Vihar, New Delhi"
Good Food Xpress & Bakery,Delhi NCR,011 40214545 +91 9990499909,"A-1, 2, 10 NN Towers, Road 44, Plot 23 A, Pitampura, New Delhi"
Delicious Treasure,Delhi NCR,+91 8588813096,"E-143 E Block Sector 52, Noida"
Special Muradabadi Chicken Biryani,Delhi NCR,+91 7409622388,"17, Opposite Dlf Tower B, Jasola, New Delhi"
Kitchen Lab,Delhi NCR,+91 7303421048 +91 9910354783,"13E/20, 1st Floor, Vasundhara Hatt Complex, Sector 13, Vasundhara, Ghaziabad"
The Kitchen Exotica,Delhi NCR,+91 8010132132 +91 7827132132,"Near Sarita Vihar Police Station, Opposite Apollo Hospital, Main Mathura Road, Jasola, New Delhi"
Choco Smith Gourmet Bakery,Delhi NCR,011 29254973 011 29254974,"Shop 13-15, Local Shopping Complex, Press Enclave Road, Sheikh Sarai 2, New Delhi"
Caf̩ Bogchi,Delhi NCR,+91 9818171953 0129 4055773,"SCF 39, First Floor, Above Axis Bank, Sector 15, Faridabad"
Song Dong Momos & Kathi Roll,Delhi NCR,+91 9999595213,"SLF Mall, Sector 31, Faridabad"
Vardaan Food Corner,Delhi NCR,+91 9837843928,"U-71, 52, Sector 24, DLF Phase 3, Gurgaon"
Chaska Point,Delhi NCR,+91 9315841436,"DA-3, Metro Pillar 53, Main Vikas Marg, Shakarpur, New Delhi"
CHD Chache Di Hatti,Delhi NCR,+91 9582157112 +91 9818219808,"PVR Complex, Vasant Vihar, New Delhi"
Fabelle Chocolate Boutique - ITC Maurya,Delhi NCR,011 66325360,"ITC Maurya, Chanakyapuri, New Delhi"
Frozen Fantasy,Delhi NCR,+91 7290007783 +91 7290007785,"Safdarjung, New Delhi"
Naturals Ice Cream,Delhi NCR,011 43785502 +91 8368436163,"L-8, L Block, Outer Circle Connaught Place, New Delhi"
Ghar Jaisa Khana,Delhi NCR,+91 9599094989 +91 9210940969,"2/2, Baberpur, Prem Gali, Shahdara, New Delhi"
Bake-Days,Delhi NCR,011 28525225 +91 7529944243,"WZ-1234, Arya Samaj Road, Near Friends Cable Network, Nagal Raya, Janakpuri, New Delhi"
Kerala Cafe,Delhi NCR,+91 9650696710 011 22755150,"Shop 4 & 5, 1st Floor, Block A/18, Acharya Niketan, Mayur Vihar Phase 1, New Delhi"
Dana Pani Foods,Delhi NCR,+91 9711885550,"H 79 Sector 63, Noida"
Dil Chinese Fast Food,Delhi NCR,+91 8448668249,"Near KSM Public School, Ghitorni Main Market, MG Road, New Delhi"
Richie's Cafe,Delhi NCR,+91 9958007086 +91 8958829911,"Chaprana Complex, Near Paras Apartment, Sector 31, Faridabad"
Sunil Bakery,Delhi NCR,+91 9717334689 +91 9643558924,"203A, Near Power House, Basant Gaon, Vasant Vihar, New Delhi"
Techies Time to Tea,Delhi NCR,+91 8377868668 0120 4547982,"C-98/27, 2nd Floor, Jain Road, Sector 41, Noida"
Chop Shop Chicken Shop,Delhi NCR,+91 8377078027 +91 9999712779,"Shop 54, Opposite TCS Maruti Showroom, Main Neelam Chowk, NIT, Faridabad"
